Country,Downloads
United States,9993
United Kingdom,1484
Germany,879
Canada,771
India,763
China,701
Philippines,554
Australia,541
Netherlands,507
France,384
"Korea, Republic Of",373
Hong Kong,300
Turkey,297
Japan,278
Italy,272
Brazil,262
Indonesia,259
Taiwan,234
Singapore,231
Russian Federation,204
Malaysia,198
Spain,193
Ireland,146
Poland,143
Sweden,143
Belgium,134
Romania,128
South Africa,124
Viet Nam,122
Norway,116
Switzerland,116
Thailand,114
Portugal,112
Mexico,104
Finland,97
Greece,94
Israel,92
Austria,90
Kenya,88
Pakistan,84
New Zealand,83
Argentina,81
"Iran, Islamic Republic Of",70
Egypt,67
Saudi Arabia,67
Denmark,64
United Arab Emirates,60
Czech Republic,55
Hungary,52
Ukraine,50
Colombia,48
Morocco,48
Peru,40
Chile,36
Bangladesh,36
Sri Lanka,35
Lithuania,33
Nigeria,27
Slovakia,26
Croatia,26
Serbia,25
Nepal,25
Kazakhstan,24
Tunisia,22
Bulgaria,21
Malta,17
"Macedonia, The Former Yugoslav Republic Of",16
Cyprus,15
Iraq,15
Lebanon,14
Algeria,13
Jamaica,13
Jordan,13
Slovenia,13
Estonia,12
"Venezuela, Bolivarian Republic Of",12
Ecuador,11
Qatar,11
Uganda,11
Luxembourg,10
"Bolivia, Plurinational State Of",9
Puerto Rico,9
Latvia,9
Moldova,9
Oman,8
Macao,8
Costa Rica,8
Dominican Republic,7
Kuwait,7
Uzbekistan,7
Bahrain,7
Iceland,6
Uruguay,6
Zimbabwe,6
Georgia,6
Bosnia & Herzegovina,5
Azerbaijan,5
Ethiopia,5
Ghana,5
Guatemala,5
Cambodia,5
Trinidad And Tobago,5
Bahamas,5
Belarus,4
Guam,4
Namibia,4
Panama,4
Paraguay,4
Seychelles,4
Barbados,4
Mauritius,3
Palestinian Territories,3
Sudan,3
Somalia,3
Armenia,2
Botswana,2
Honduras,2
Jersey,2
Cayman Islands,2
Syrian Arab Republic,2
"Tanzania, United Republic Of",2
Brunei Darussalam,2
Andorra,1
Antigua And Barbuda,1
Albania,1
Angola,1
Aruba,1
Burkina Faso,1
Bermuda,1
Cameroon,1
Cuba,1
Zambia,1
Guyana,1
Isle Of Man,1
Kyrgyzstan,1
Liechtenstein,1
Lesotho,1
Libya,1
Monaco,1
Myanmar,1
Malawi,1
New Caledonia,1
Papua New Guinea,1
Rwanda,1
Solomon Islands,1
El Salvador,1
Turks And Caicos Islands,1
Togo,1
Fiji,1